term,skill_group,live_count,new_count,rank_live,rank_new
python,languages,11938,1103,1,2
azure,cloud,9062,1682,2,1
aws,cloud,8884,732,3,5
sql,languages,8511,1067,4,3
microsoft excel,bi,4970,888,5,4
machine learning,analytics,4433,434,6,7
java,languages,4334,319,7,13
kubernetes,cloud,3909,360,8,11
power bi,bi,3831,524,9,6
gcp,cloud,3200,248,10,16
docker,cloud,3097,378,11,8
javascript,languages,3033,361,12,10
terraform,cloud,2918,309,13,14
data engineering,analytics,2901,337,14,12
typescript,languages,2577,271,15,15
c#,languages,2575,366,16,9
etl,analytics,1480,164,17,17
tableau,bi,1403,104,18,20
databricks,warehouse,1370,164,19,17
snowflake,warehouse,1341,123,20,19
postgresql,warehouse,1094,103,21,21
looker,bi,772,41,22,25
airflow,analytics,667,59,23,23
dbt,warehouse,645,65,24,22
bigquery,warehouse,452,45,25,24
scala,languages,382,24,26,26
redshift,warehouse,262,22,27,27
qlik,bi,147,14,28,28
spss,analytics,66,0,29,29
